     distance         timeN            Tn          Mass     Mass_cons    Moment_kin    Moment_the    Moment_mag    Moment_vis        Moment      Mom_cons    Energy_kin    Energy_the    Energy_int    Energy_mag    Energy_vis        Energy    Energ_gain    Energ_cons 
  7.583918385E+008   8.446996339E-006   1.724333177E+003   7.094428049E-012  -1.123828792E-012   1.827282700E-005   1.665806892E-007   5.397913760E-010   2.846692114E-006   2.128663959E-005   8.507404345E-009   2.353228507E+001   1.072637602E+000   2.659023591E-002   2.780636962E-003   7.332107980E+000   3.196640153E+001  -1.138303095E-007   1.681949350E-008 
  7.761376909E+008   8.666103006E-006   1.874233346E+003   7.094428049E-012  -1.135898281E-012   1.814380458E-005   1.823494735E-007   5.474956937E-010   2.959938048E-006   2.128663959E-005   8.507673337E-009   2.320114055E+001   1.165884406E+000   2.661601484E-002   2.800410352E-003   7.569960133E+000   3.196640151E+001  -1.311982170E-007   1.682007461E-008 
  7.938835433E+008   8.886785855E-006   2.032918545E+003   7.094428049E-012  -1.154230240E-012   1.801274998E-005   1.992274469E-007   5.554914574E-010   3.074106670E-006   2.128663959E-005   8.507950606E-009   2.286718251E+001   1.264596020E+000   2.664656480E-002   2.820785177E-003   7.805155610E+000   3.196640149E+001  -1.506078622E-007   1.682054645E-008 
  8.116293957E+008   9.109092558E-006   2.200618130E+003   7.094428049E-012  -1.153319335E-012   1.787971822E-005   2.172667306E-007   5.637883355E-010   3.189090851E-006   2.128663959E-005   8.508261937E-009   2.253066220E+001   1.368915118E+000   2.668248382E-002   2.841772869E-003   8.037299894E+000   3.196640147E+001  -1.722721499E-007   1.682109783E-008 
  8.293752480E+008   9.333071698E-006   2.377553723E+003   7.094428049E-012  -1.154002514E-012   1.774476512E-005   2.365207768E-007   5.723964299E-010   3.304781299E-006   2.128663959E-005   8.508588866E-009   2.219183048E+001   1.478979560E+000   2.672440137E-002   2.863385219E-003   8.266003619E+000   3.196640145E+001  -1.964270919E-007   1.682165177E-008 
  8.471211004E+008   9.558772800E-006   2.563938635E+003   7.094428049E-012  -1.166527455E-012   1.760794731E-005   2.570443780E-007   5.813262937E-010   3.421066579E-006   2.128663959E-005   8.509020049E-009   2.185093755E+001   1.594922041E+000   2.677297560E-002   2.885634382E-003   8.490883219E+000   3.196640142E+001  -2.233182441E-007   1.682237435E-008 
  8.740237981E+008   9.904341118E-006   2.864973288E+003   7.094428049E-012  -1.163794740E-012   1.739710393E-005   2.907052214E-007   5.955023929E-010   3.598234943E-006   2.128663959E-005   8.509812861E-009   2.133076993E+001   1.782183466E+000   2.686084483E-002   2.920606692E-003   8.823666520E+000   3.196640137E+001  -2.699601779E-007   1.682206636E-008 
  9.009264957E+008   1.025416383E-005   3.188862672E+003   7.094428049E-012  -1.181101931E-012   1.718231042E-005   3.276147669E-007   6.104840264E-010   3.776103920E-006   2.128663959E-005   8.510598032E-009   2.080730042E+001   1.983661891E+000   2.696807191E-002   2.957116762E-003   9.145513818E+000   3.196640132E+001  -3.245918307E-007   1.682117634E-008 
  9.278291933E+008   1.060842680E-005   3.536222952E+003   7.094428049E-012  -1.181671247E-012   1.696377391E-005   3.679818309E-007   6.263145133E-010   3.954257540E-006   2.128663959E-005   8.511426974E-009   2.028138303E+001   2.199740606E+000   2.709723956E-002   2.995211940E-003   9.455185171E+000   3.196640125E+001  -3.885732912E-007   1.681886419E-008 
  9.547318910E+008   1.096732166E-005   3.907611989E+003   7.094428049E-012  -1.188047580E-012   1.674170509E-005   4.120225246E-007   6.430400929E-010   4.132268935E-006   2.128663959E-005   8.512291410E-009   1.975386088E+001   2.430766635E+000   2.725101458E-002   3.034941654E-003   9.751487702E+000   3.196640118E+001  -4.639706996E-007   1.681257342E-008 
