     distance         timeN            Tn         E(H2)       E(13CO)         E(OH)        E(NH3)       E(r,CO)       E(v,CO)         E(CO)    E(r,o-H2O)    E(r,p-H2O)      E(v,H2O)        E(H2O)         E(C+)        E(Si+)          E(C)         E(Si)          E(O)         E(S+)         E(N+)        E(Fe+) 
  6.696625767E+008   7.373497509E-006   1.098114075E+003   3.942052459E-021   4.504290081E-018   1.954405130E-021   8.083829114E-026   3.662699678E-016   8.790610198E-020   3.663578739E-016   2.873999483E-018   9.944021094E-019   3.648909144E-021   3.872050501E-018   9.833407559E-026   2.697616064E-032   9.973293906E-025   6.393157844E-031   1.345982035E-017   3.386812787E-033   1.225352789E-032   5.206614291E-021 
  6.874084290E+008   7.585408384E-006   1.207758317E+003   5.476282827E-021   5.018635524E-018   2.372252426E-021   9.033474761E-026   4.253025982E-016   1.552827294E-019   4.254578809E-016   3.297068032E-018   1.127240697E-018   5.689772129E-021   4.429998501E-018   9.921756580E-026   2.772219363E-032   1.004977080E-024   6.503349854E-031   1.382435854E-017   1.888676662E-032   1.208269057E-032   5.532888232E-021 
  7.051542814E+008   7.798669788E-006   1.324945754E+003   7.549651217E-021   5.578933297E-018   2.982721238E-021   1.006931160E-025   4.912458563E-016   2.626771898E-019   4.915085334E-016   3.765269274E-018   1.272717416E-018   8.587906781E-021   5.046574597E-018   1.000932944E-025   2.842335698E-032   1.012688244E-024   6.608657579E-031   1.417338928E-017   8.623517725E-032   1.191300296E-032   5.842019431E-021 
  7.229001338E+008   8.013325248E-006   1.449935394E+003   1.034109135E-020   6.188320610E-018   3.913472711E-021   1.119945412E-025   5.640441402E-016   4.275623492E-019   5.644717025E-016   4.281840358E-018   1.431877464E-018   1.259229857E-020   5.726310121E-018   1.009652979E-025   2.908630320E-032   1.020485561E-024   6.709928915E-031   1.450895501E-017   3.312373294E-031   1.174619797E-032   6.134920625E-021 
  7.406459862E+008   8.229419063E-006   1.582981541E+003   1.408856100E-020   6.850104541E-018   5.369191923E-021   1.243597581E-025   6.434906511E-016   6.724317815E-019   6.441630829E-016   4.850189667E-018   1.605882998E-018   1.799265269E-020   6.474065317E-018   1.018370177E-025   2.971685875E-032   1.028388731E-024   6.807892810E-031   1.483286193E-017   1.095188114E-030   1.158388060E-032   6.412743903E-021 
  7.583918385E+008   8.446996339E-006   1.724333177E+003   1.910962401E-020   7.567770634E-018   7.670400157E-021   1.379924114E-025   7.299496052E-016   1.025463643E-018   7.309750689E-016   5.473909284E-018   1.796023874E-018   2.512019443E-020   7.295053353E-018   1.027114075E-025   3.032011997E-032   1.036414837E-024   6.903178271E-031   1.514670518E-017   3.178387425E-030   1.142789870E-032   6.676769133E-021 
  7.761376909E+008   8.666103006E-006   1.874233346E+003   2.582995617E-020   8.344991951E-018   1.130840568E-020   1.532591247E-025   8.244420023E-016   1.521119199E-018   8.259631215E-016   6.156788161E-018   2.003729157E-018   3.434790579E-020   8.194865224E-018   1.035910210E-025   3.090054434E-032   1.044578538E-024   6.996330282E-031   1.545189169E-017   8.232389962E-030   1.128092194E-032   6.928324133E-021 
  7.938835433E+008   8.886785855E-006   2.032918545E+003   3.482274929E-020   9.185638585E-018   1.702192765E-020   1.708268343E-025   9.286319551E-016   2.200659467E-018   9.308326145E-016   6.902826632E-018   2.230579013E-018   4.609030204E-020   9.179495947E-018   1.044780833E-025   3.146203401E-032   1.052892105E-024   7.087823079E-031   1.574966017E-017   1.930374191E-029   1.114726897E-032   7.168729893E-021 
  8.116293957E+008   9.109092558E-006   2.200618130E+003   4.686270042E-020   1.009378766E-017   2.590250234E-020   1.918838194E-025   1.045108986E-015   3.113007365E-018   1.048221994E-015   7.716373791E-018   2.478212706E-018   6.080882645E-020   1.025539532E-017   1.053745494E-025   3.200801035E-032   1.061365309E-024   7.178071249E-031   1.604109815E-017   4.148392286E-029   1.103395760E-032   7.399264812E-021 
  8.293752480E+008   9.333071698E-006   2.377553723E+003   6.299891238E-020   1.107373385E-017   3.953772975E-020   2.184769864E-025   1.173610374E-015   4.316500642E-018   1.177926875E-015   8.602343397E-018   2.748174973E-018   7.902737704E-020   1.142954575E-017   1.062821518E-025   3.254147951E-032   1.070005177E-024   7.267438979E-031   1.632715586E-017   8.257250046E-029   1.095187073E-032   7.621142899E-021 
